order_id,purchase_date,order_status,total_price
A1,2024-03-20,Cancelled,5538.33
A2,2024-04-20,Completed,741.09
A3,2023-10-17,Completed,1855.84
A4,2024-08-09,Completed,3164.76
A5,2024-05-21,Completed,41.5
A6,2024-05-26,Completed,83
A7,2024-01-30,Completed,7603.47
A8,2024-06-24,Completed,4175.64
A9,2023-10-03,Cancelled,5538.33
B1,2024-01-01,Completed,4175.64
B2,2024-06-25,Completed,2470.3
B3,2023-11-07,Cancelled,7120.71
B4,2023-09-25,Completed,3379.32
B5,2024-07-07,Completed,7911.9
B6,2024-03-18,Cancelled,5538.33
B7,2024-01-02,Cancelled,5068.98
B8,2024-05-18,Completed,4747.14
B9,2024-09-02,Completed,83
C1,2024-07-07,Completed,103.75
C2,2024-07-23,Completed,124.5
C3,2024-03-14,Cancelled,83
C4,2024-04-20,Completed,988.12
C5,2024-07-21,Cancelled,844.83
C6,2023-12-02,Cancelled,3379.32
C7,2024-03-20,Completed,844.83
C8,2024-04-27,Cancelled,6758.64
C9,2024-07-10,Completed,1582.38
D1,2024-01-29,Completed,2783.76
D2,2024-08-28,Completed,83
D3,2023-11-28,Completed,4747.14
D4,2023-11-30,Completed,6758.64
D5,2024-02-27,Completed,4224.15
D6,2024-01-21,Completed,5913.81
D7,2024-09-03,Completed,103.75
D8,2023-11-30,Completed,988.12
D9,2024-01-12,Completed,3164.76
E1,2023-09-24,Completed,186.75
E2,2024-03-25,Completed,62.25
E3,2023-10-12,Cancelled,3955.95
E4,2024-01-28,Cancelled,791.19
E5,2024-07-08,Completed,4224.15
E6,2024-07-29,Completed,5068.98
E7,2024-08-17,Completed,145.25
E8,2024-09-23,Completed,5538.33
E9,2024-08-31,Completed,1729.21
F1,2023-10-16,Completed,6329.52
F2,2024-06-26,Cancelled,145.25
F3,2024-07-16,Completed,5913.81
F4,2024-03-05,Completed,207.5
F5,2023-12-11,Completed,2470.3
F6,2023-10-28,Cancelled,2470.3
F7,2024-06-25,Completed,145.25
F8,2024-08-03,Cancelled,5068.98
F9,2023-12-20,Completed,4175.64
G1,2024-05-08,Completed,62.25
G2,2024-04-27,Completed,1855.84
G3,2023-10-22,Cancelled,7603.47
G4,2024-03-28,Cancelled,1482.18
G5,2024-06-12,Completed,166
G6,2024-07-08,Cancelled,3955.95
G7,2024-02-22,Completed,3247.72
G8,2024-06-27,Completed,463.96
G9,2023-09-28,Completed,1855.84
H1,2023-12-07,Completed,1482.18
H2,2024-01-29,Completed,1582.38
H3,2023-10-25,Completed,1976.24
H4,2024-05-21,Completed,463.96
H5,2024-03-23,Completed,6329.52
H6,2024-04-25,Completed,1855.84
H7,2024-07-08,Cancelled,2373.57
H8,2024-02-28,Cancelled,2373.57
